          libro1          libro2          libro3          libro4          libro5          libro6
"AMO"          0          0          0          1          0          0          
111º          1          0          0          0          0          0          
A          1          1          1          1          1          1          
ABAJO          0          0          0          0          0          1          
ABIERTO          0          0          0          0          1          0          
ABISMO          0          1          1          0          0          0          
ACABA          1          0          0          1          1          0          
ACABABA          1          0          0          0          0          0          
ACABAN          1          0          0          0          0          1          
ACABARON          0          0          0          0          0          1          
ACABó          1          0          0          0          0          0          
ACAMPAR          0          0          0          0          1          0          
ACCIDENTALMENTE          1          0          0          0          0          0          
ACCIóN          0          0          1          0          0          0          
ACEBEDA          0          1          0          0          0          0          
ACERCARAN          0          1          0          0          0          0          
ACOMPAñA          1          0          0          0          0          0          
ACOMPAñADO          0          0          0          0          0          1          
ACOMPAñADOS          1          0          0          0          1          0          
ACOMPAñAR          0          1          0          0          0          0          
ACOMPAñARAN          0          0          0          0          1          0          
ACOMPAñARLE          1          0          0          0          0          0          
ACOMPAñARíAN          0          1          0          0          0          0          
ACOMPAñó          0          0          0          0          0          1          
ACONSEJA          0          0          1          0          0          0          
ACONTECIMIENTOS          0          1          1          0          0          0          
ACTOS          0          0          1          0          0          0          
ACUDE          1          0          0          0          1          0          
ACUDEN          1          0          0          0          0          0          
ACUDIR          0          0          0          0          0          1          
ACUDIRíAN          0          1          0          0          0          0          
ACUDIó          1          0          0          0          0          0          
ADELANTE          1          0          0          0          1          0          
ADENTRARSE          1          0          0          0          0          0          
AFORTUNADAMENTE          0          0          0          1          0          0          
AGOTAMIENTO          0          0          0          0          0          1          
AGUA          0          1          0          0          0          0          
AHORA          0          0          1          0          0          0          
AIRE          0          0          0          0          0          1          
AL          1          1          1          1          1          1          
ALCANZADOS          0          1          0          0          0          0          
ALDEA          1          0          0          0          0          0          
ALEGRíA          0          0          0          0          0          1          
ALERTA          1          0          0          0          0          0          
ALERTADO          0          0          0          0          1          0          
ALERTAR          0          0          0          1          0          0          
ALGUNAS          0          0          0          0          1          0          
ALLí          1          1          0          0          1          1          
ALTERNATIVO          0          0          0          0          1          0          
AMBOS          1          0          0          0          1          1          
AMENAZAS          0          0          0          1          0          0          
AMIGO          1          0          0          0          0          0          
AMIGOS          1          1          1          0          0          0          
AMO          0          1          0          1          0          1          
AMON          1          1          0          0          0          0          
ANDUIN          1          1          0          0          1          0          
ANILLO          1          1          0          1          0          1          
ANILLO:          1          0          0          0          0          0          
ANIQUILADO          0          1          0          0          0          0          
ANTE          1          1          1          1          1          0          
ANTES          1          1          0          0          0          0          
ANTIGUA          0          1          0          0          0          0          
ANULAR          0          0          0          0          0          1          
APAGADO          0          0          0          1          0          0          
APARECER          0          0          0          1          0          0          
APARECIERON          0          1          0          0          0          0          
APARECIó          0          1          0          0          0          0          
APARENTEMENTE          0          0          1          1          0          0          
APARTó          0          1          0          0          0          0          
APENADOS          0          1          0          0          0          0          
APODERARSE          0          0          0          0          0          1          
APOYO          0          0          0          0          1          0          
APRESADOS          0          0          1          0          0          0          
APRESURA          0          0          1          0          0          0          
APRESURó          0          0          0          0          1          0          
APROVECHAN          0          0          0          0          0          1          
APROVECHANDO          0          0          1          0          0          0          
ARAGORN          1          1          1          0          1          1          
ARAñA          0          0          0          1          0          0          
ARDIDES          0          0          1          0          0          0          
ARGUMENTOS          0          0          0          1          0          0          
ARIETE          0          0          0          0          1          0          
ARMAS          1          0          0          0          0          0          
ARNOR          1          0          0          0          0          0          
ARRANCáNDOLE          0          0          0          0          0          1          
ARRASTRADOS          1          0          0          0          0          0          
ARRASTRó          0          1          0          0          0          0          
ARREBATADO          1          0          0          0          0          0          
ARREBATáRSELO          1          0          0          0          0          0          
ARROJA          0          0          1          0          0          0          
ARROJAR          0          1          0          0          0          0          
ARROJARLO          0          0          0          0          0          1          
ARWEN          0          0          0          0          0          1          
ASAMBLEA          0          0          1          0          0          0          
ASCENDER          0          0          0          1          0          0          
ASCENDIENDO;          0          0          0          0          0          1          
ASEMEJA          0          0          0          1          0          0          
ASENTADO          0          1          0          0          0          0          
ASFALOTH          1          0          0          0          0          0          
ASISTIERON          0          0          0          0          0          1          
ASUSTA          0          0          0          0          1          0          
ASí          1          0          1          1          1          1          
ATACA          0          0          0          0          1          0          
ATACADA          0          1          0          0          0          0          
ATACADOS          0          1          0          1          0          1          
ATACAN          1          0          0          0          0          0          
ATAQUE          0          0          1          0          1          0          
ATENCIóN          0          0          0          0          1          0          
ATRAPADO          0          0          1          0          0          0          
ATRAPADOS          1          0          0          0          0          0          
ATRAPAN          0          0          0          1          0          0          
ATRAVESAR          0          1          0          1          0          0          
AUNQUE          0          0          0          1          0          1          
AVENTURAS          0          0          0          0          0          1          
AYUDA          1          0          0          0          1          1          
AYUDARA          0          0          1          0          0          0          
AYUDáNDOLOS          0          0          1          0          0          0          
AñO          0          0          0          0          0          1          
AñOS          1          0          0          0          0          0          
BAJAN          0          0          0          0          1          0          
BAJO          0          0          0          1          0          0          
BALIN          0          1          0          0          0          0          
BALROG          0          1          0          0          0          0          
BARAD-DûR          0          0          1          0          0          0          
BARAN          0          0          1          0          0          0          
BARCAS          0          1          0          0          0          0          
